Trial_Number,File,Mirror,File_Name
82,configuration_1_Bio_2.csv,mirrored_configuration_1_Bio_2.csv,
83,configuration_1_Bio_2.csv,mirrored_configuration_1_Bio_2.csv,
84,configuration_1_Bio_2.csv,mirrored_configuration_1_Bio_2.csv,
85,configuration_5_Bio_2.csv,mirrored_configuration_5_Bio_2.csv,
86,configuration_2_Bio_2.csv,mirrored_configuration_2_Bio_2.csv,
87,configuration_4_Bio_2.csv,mirrored_configuration_4_Bio_2.csv,
88,configuration_1_Bio_2.csv,mirrored_configuration_1_Bio_2.csv,
89,configuration_4_Bio_2.csv,mirrored_configuration_4_Bio_2.csv,
90,configuration_5_Bio_2.csv,mirrored_configuration_5_Bio_2.csv,
91,configuration_5_Bio_2.csv,mirrored_configuration_5_Bio_2.csv,
92,configuration_3_Bio_2.csv,mirrored_configuration_3_Bio_2.csv,
93,configuration_4_Bio_2.csv,mirrored_configuration_4_Bio_2.csv,
94,configuration_2_Bio_2.csv,mirrored_configuration_2_Bio_2.csv,
95,configuration_1_Bio_2.csv,mirrored_configuration_1_Bio_2.csv,
96,configuration_3_Bio_2.csv,mirrored_configuration_3_Bio_2.csv,
97,configuration_2_Bio_2.csv,mirrored_configuration_2_Bio_2.csv,
98,configuration_5_Bio_2.csv,mirrored_configuration_5_Bio_2.csv,
99,configuration_3_Bio_2.csv,mirrored_configuration_3_Bio_2.csv,
100,configuration_3_Bio_2.csv,mirrored_configuration_3_Bio_2.csv,
101,configuration_3_Bio_2.csv,mirrored_configuration_3_Bio_2.csv,
102,configuration_1_Bio_2.csv,mirrored_configuration_1_Bio_2.csv,
103,configuration_3_Bio_2.csv,mirrored_configuration_3_Bio_2.csv,
104,configuration_4_Bio_2.csv,mirrored_configuration_4_Bio_2.csv,
105,configuration_2_Bio_2.csv,mirrored_configuration_2_Bio_2.csv,
106,configuration_5_Bio_2.csv,mirrored_configuration_5_Bio_2.csv,
107,configuration_4_Bio_2.csv,mirrored_configuration_4_Bio_2.csv,
108,configuration_5_Bio_2.csv,mirrored_configuration_5_Bio_2.csv,
109,configuration_2_Bio_2.csv,mirrored_configuration_2_Bio_2.csv,
110,configuration_4_Bio_2.csv,mirrored_configuration_4_Bio_2.csv,
111,configuration_2_Bio_2.csv,mirrored_configuration_2_Bio_2.csv,
112,configuration_2_Bio_1.csv,mirrored_configuration_2_Bio_1.csv,
113,configuration_2_Bio_1.csv,mirrored_configuration_2_Bio_1.csv,
114,configuration_1_Bio_1.csv,mirrored_configuration_1_Bio_1.csv,
115,configuration_5_Bio_1.csv,mirrored_configuration_5_Bio_1.csv,
116,configuration_1_Bio_1.csv,mirrored_configuration_1_Bio_1.csv,
117,configuration_4_Bio_1.csv,mirrored_configuration_4_Bio_1.csv,
118,configuration_2_Bio_1.csv,mirrored_configuration_2_Bio_1.csv,
119,configuration_3_Bio_1.csv,mirrored_configuration_3_Bio_1.csv,
120,configuration_5_Bio_1.csv,mirrored_configuration_5_Bio_1.csv,
121,configuration_5_Bio_1.csv,mirrored_configuration_5_Bio_1.csv,
122,configuration_1_Bio_1.csv,mirrored_configuration_1_Bio_1.csv,
123,configuration_2_Bio_1.csv,mirrored_configuration_2_Bio_1.csv,
124,configuration_1_Bio_1.csv,mirrored_configuration_1_Bio_1.csv,
125,configuration_3_Bio_1.csv,mirrored_configuration_3_Bio_1.csv,
126,configuration_4_Bio_1.csv,mirrored_configuration_4_Bio_1.csv,
127,configuration_4_Bio_1.csv,mirrored_configuration_4_Bio_1.csv,
128,configuration_3_Bio_1.csv,mirrored_configuration_3_Bio_1.csv,
129,configuration_2_Bio_1.csv,mirrored_configuration_2_Bio_1.csv,
130,configuration_3_Bio_1.csv,mirrored_configuration_3_Bio_1.csv,
131,configuration_3_Bio_1.csv,mirrored_configuration_3_Bio_1.csv,
132,configuration_4_Bio_1.csv,mirrored_configuration_4_Bio_1.csv,
133,configuration_1_Bio_1.csv,mirrored_configuration_1_Bio_1.csv,
134,configuration_4_Bio_1.csv,mirrored_configuration_4_Bio_1.csv,
135,configuration_5_Bio_1.csv,mirrored_configuration_5_Bio_1.csv,
136,configuration_2_Bio_1.csv,mirrored_configuration_2_Bio_1.csv,
137,configuration_4_Bio_1.csv,mirrored_configuration_4_Bio_1.csv,
138,configuration_3_Bio_1.csv,mirrored_configuration_3_Bio_1.csv,
139,configuration_1_Bio_1.csv,mirrored_configuration_1_Bio_1.csv,
140,configuration_5_Bio_1.csv,mirrored_configuration_5_Bio_1.csv,
141,configuration_5_Bio_1.csv,mirrored_configuration_5_Bio_1.csv,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
